primaryTitle,startYear,runtimeMinutes,genres,region,language,averageRating,numVotes
Chitti Chellelu,1970,169,Drama,IN,\N,7.3,17
Picture Claire,2001,91,Thriller,IN,en,5.4,1307
College Bullodu,1992,130,Drama,IN,\N,6.8,19
Daagudumootalu,1964,\N,Drama,IN,\N,7.6,14
Daddy Daddy,1998,140,Drama,IN,\N,6.8,17
Shortcut to Happiness,2003,106,"Comedy,Drama,Fantasy",IN,en,5.4,6969
Edu Kondalaswamy,1991,\N,"Drama,Musical",IN,\N,6.3,13
Ekalavya,1982,\N,\N,IN,\N,5.3,9
Gudi Gantalu,1965,\N,Drama,IN,\N,7.1,22
Gulebakavali Katha,1962,\N,"Drama,Fantasy,Musical",IN,en,8.5,92
Guna Sundari,1955,\N,\N,IN,\N,4.5,7
Hema Hemeelu,1980,\N,\N,IN,\N,6.1,10
Jeepers Creepers,2001,90,"Horror,Mystery",IN,en,6.2,154641
Jis Desh Mein Ganga Rehta Hain,2000,141,"Comedy,Crime,Drama",IN,en,4.9,1504
Pretty Things,2001,105,Drama,IN,en,5.7,1148
Kurukshetramu,1977,168,"Action,Drama,Musical",IN,en,7.8,71
Mahamantri Timmarasu,1962,177,"Action,Drama,History",IN,\N,7.6,41
Manamagal Thevai,1957,\N,"Comedy,Drama",IN,en,5.9,11
Manchi Kutumbam,1968,151,Drama,IN,en,7.5,10
Minha Vida em Suas Mãos,2001,88,Drama,IN,en,7.1,77
Uptown Girls,2003,92,"Comedy,Drama,Romance",IN,en,6.3,49236
Muddula Koduku,1979,\N,\N,IN,\N,4.3,16
Nadina Bhagya,1970,\N,\N,IN,\N,9.1,16
Namma Makkalu,1969,117,\N,IN,\N,8.0,7
Narthanasala,1963,175,"Drama,Musical",IN,te,8.2,314
Nirdoshi,1970,101,\N,IN,\N,3.7,7
Pandava Vanavasam,1965,188,"Drama,Fantasy",IN,hi,8.3,174
Panduranga Mahatyam,1957,\N,"Drama,History,Musical",IN,en,8.0,76
Pelli Kaanuka,1960,\N,Drama,IN,\N,8.2,19
Penki Pellam,1956,160,"Comedy,Drama",IN,\N,7.2,11
Back Door,2000,105,Drama,IN,en,6.2,569
Poola Rangadu,1967,165,Drama,IN,\N,7.0,8
Raktha Sambandham,1962,\N,Drama,IN,\N,8.7,65
Rechukka Pagatichukka,1959,164,Family,IN,\N,8.2,12
Sabash Raja,1961,\N,Drama,IN,\N,7.6,8
Shri Datta Darshanam,1985,143,"Drama,Musical",IN,hi,8.0,32
Sri Krishna Thulabharam,1966,187,"Drama,Musical",IN,\N,8.3,54
Sri Krishna Vijayam,1973,148,Drama,IN,\N,7.1,21
Sri Krishnavataram,1967,211,Drama,IN,\N,8.2,29
Sri Vasavi Kanyaka Parameswari Mahatyam,1980,\N,\N,IN,\N,7.0,6
Sri Vinayaka Vijayamu,1980,151,"Drama,Musical",IN,en,5.5,15
Sri Panduranga Mahatyam,1959,\N,\N,IN,\N,6.3,20
Ummadi Kutumbam,1967,160,"Drama,Family",IN,\N,6.4,12
Veeranjaneya,1968,\N,\N,IN,\N,8.2,5
Velugu Needalu,1964,174,Drama,IN,en,7.7,35
Vichitra Bandham,1972,\N,Drama,IN,\N,7.1,12
Vijayanagarada Veeraputra,1961,\N,\N,IN,\N,7.4,25
Zor: Never Underestimate the Force,1998,157,"Action,Crime,Drama",IN,en,4.4,357
Drift,2001,89,Drama,IN,en,6.2,369
2001 Maniacs,2005,87,"Comedy,Horror",IN,en,5.3,13892
Aagraham,1993,\N,"Action,Drama",IN,\N,6.9,41
Ammoru,1995,129,"Fantasy,Thriller",IN,en,7.2,390
Baby Ghost,1995,86,"Comedy,Family,Horror",IN,en,1.5,261
Basic,2003,98,"Crime,Drama,Mystery",IN,en,6.4,68944
Bhairava Dweepam,1994,162,"Action,Adventure,Comedy",IN,en,8.1,1055
Bhakta Potana,1943,186,"Biography,Drama",IN,\N,7.8,55
Black Mask 2: City of Masks,2002,102,"Action,Drama,Sci-Fi",IN,en,3.7,2060
Catch Me If You Can,2002,141,"Biography,Crime,Drama",IN,en,8.1,1195686
Changing Lanes,2002,98,"Drama,Thriller",IN,en,6.5,77184
Chinna Vathiyar,1995,132,\N,IN,\N,5.8,72
Chiranjeevi Sudhakara,1988,\N,\N,IN,\N,5.8,8
Dagon,2001,98,"Fantasy,Horror,Mystery",IN,hi,6.2,22779
Devatha Manushya,1988,\N,\N,IN,en,8.7,92
Dikkatra Parvathi,1974,111,"Drama,Family",IN,\N,8.0,8
The Endurance,2000,97,"Documentary,History",IN,en,7.8,2375
Frailty,2001,100,"Crime,Drama,Thriller",IN,en,7.2,97850
Jogidas Khuman,1975,\N,"Biography,Drama,History",IN,gu,8.8,9
Kadu Makrani,1960,148,"Action,Biography,Drama",IN,\N,8.4,17
Kalapi,1966,137,\N,IN,\N,6.9,14
Life as a House,2001,125,Drama,IN,en,7.4,46916
Live Nude Girls Unite!,2000,75,Documentary,IN,en,6.3,526
Magalir Mattum,1994,132,"Comedy,Drama,Thriller",IN,en,7.4,711
Malela Jeev,1956,141,\N,IN,\N,8.4,9
Malli Pelli,1939,187,Drama,IN,\N,6.7,7
Misar Ka Khazana,1935,\N,"Adventure,Fantasy",IN,hi,5.9,10
Murder by Numbers,2002,115,"Crime,Mystery,Thriller",IN,en,6.2,65564
100 Women,2002,98,"Comedy,Romance",IN,en,4.9,2756
America's Sweethearts,2001,102,"Comedy,Romance",IN,hi,5.7,62351
Black Hawk Down,2001,144,"Action,Drama,History",IN,en,7.7,446793
Black Knight,2001,95,"Adventure,Comedy,Fantasy",IN,en,5.0,45409
The Breed,2001,91,"Action,Horror,Sci-Fi",IN,en,4.7,3075
Main Prem Ki Diwani Hoon,2003,197,"Comedy,Drama,Musical",IN,hi,3.8,5489
Keelu Gurram,1949,220,"Drama,Fantasy",IN,en,7.7,51
Big Fat Liar,2002,88,"Adventure,Comedy,Family",IN,en,5.5,42393
Money,1993,131,"Action,Comedy,Drama",IN,\N,7.4,224
Money Money,1995,152,"Action,Comedy,Drama",IN,\N,6.8,195
Monsoon Wedding,2001,114,"Comedy,Drama,Romance",IN,en,7.3,27517
The Mothman Prophecies,2002,119,"Drama,Horror,Mystery",IN,en,6.4,88350
Nagarjuna,1961,164,\N,IN,\N,8.8,15
Officer,2001,173,"Action,Crime,Drama",IN,en,4.4,167
One Hour Photo,2002,96,"Drama,Thriller",IN,en,6.8,138137
Pansion za kucheta,2000,84,Drama,IN,en,7.1,71
Papam Pasivaadu,1972,135,"Adventure,Drama,Thriller",IN,\N,8.7,42
Ripley's Game,2002,110,"Crime,Drama,Mystery",IN,en,6.6,20470
The Royal Tenenbaums,2001,110,"Comedy,Drama",IN,en,7.6,328174
Samakka Saarakka,2000,\N,\N,IN,\N,5.8,18
Samraat,1982,161,"Action,Adventure,Comedy",IN,\N,6.0,200
Santu Rangili,1976,\N,Drama,IN,gu,7.5,14
Sati Sulochana,1934,170,"Drama,War",IN,en,8.8,24
Seeta Bibaha,1936,\N,\N,IN,\N,8.3,25
Sethu,1999,130,"Action,Drama,Musical",IN,en,8.1,3131
Shravana Banthu,1984,158,\N,IN,en,8.6,69
Wolf Girl,2001,97,"Drama,Fantasy,Horror",IN,en,5.8,1152
Sommokadidhi Sokokadidhi,1979,140,"Drama,Musical,Romance",IN,ta,6.8,57
The Source,2001,100,"Horror,Mystery,Sci-Fi",IN,en,4.0,803
Sri Krishnarjuna Yudham,1963,174,"Drama,Fantasy,History",IN,en,8.1,92
Stealing Harvard,2002,85,"Comedy,Crime",IN,hi,5.1,14122
Tempted,2001,95,Thriller,IN,en,5.4,1509
Triloka Sundari,1980,128,\N,IN,en,7.7,41
Untold,2002,86,"Action,Adventure,Horror",IN,en,3.5,2137
Yogi Vemana,1947,174,Drama,IN,\N,7.7,45
Arjun,1985,154,"Action,Crime,Drama",IN,en,7.2,1252
Azhakiya Ravanan,1996,120,"Comedy,Drama",IN,\N,7.4,1067
Babai Abbai,1984,117,"Comedy,Romance",IN,\N,6.8,124
Bangaru Papa,1954,183,Drama,IN,\N,6.5,26
Barrister Parvateesam,1940,\N,"Comedy,Drama",IN,\N,8.2,31
Battle Royale,2000,114,"Action,Drama,Thriller",IN,en,7.5,203904
Bhagat Gora Kumbhar,1978,\N,"Drama,History",IN,en,6.8,17
Bhagya Rekha,1957,176,Drama,IN,\N,5.8,10
Biwi-O-Biwi,1981,156,"Comedy,Romance",IN,en,7.2,252
Blood Hands,1990,89,Action,IN,hi,4.5,111
Chandrasena,1935,136,Adventure,IN,\N,3.3,16
China Strike Force,2000,103,"Action,Crime",IN,hi,5.3,1956
Dacait,1987,158,"Action,Drama",IN,en,6.5,415
Deedar-E-Yaar,1982,\N,"Drama,Romance",IN,en,5.4,65
Devudu Chesina Manushulu,1973,177,"Action,Drama",IN,\N,7.5,65
Deyyam,1996,86,Horror,IN,\N,6.4,272
A Man Apart,2003,109,"Action,Crime,Drama",IN,hi,6.0,50827
Dubai,2001,199,"Action,Thriller",IN,\N,4.0,290
Duplex,2003,89,Comedy,IN,en,5.9,64778
Eeta,1978,119,"Action,Drama,Romance",IN,ml,6.8,37
Finding Nemo,2003,100,"Adventure,Animation,Comedy",IN,ta,8.2,1182404
Gunasundari Katha,1949,172,"Drama,Fantasy",IN,en,7.8,45
Hollywood Sex Fantasy,2001,99,"Comedy,Romance",IN,en,5.3,281
House of Love,2000,92,"Drama,Romance",IN,en,4.9,242
Itha Oru Manushyan,1978,130,Drama,IN,en,6.3,10
Jagadeka Veeruni Katha,1961,187,"Drama,Fantasy",IN,\N,8.2,142
Kanch Ki Gudiya,1961,\N,"Drama,Family",IN,en,5.9,15
Kanku,1969,148,Drama,IN,\N,7.5,16
Kill Bill: Vol. 1,2003,111,"Action,Crime,Thriller",IN,en,8.2,1274779
Kudumbakodathi,1996,\N,\N,IN,en,5.3,81
Little Soldiers,1996,105,"Comedy,Drama,Family",IN,en,8.1,498
Love Is the Drug,2006,96,Drama,IN,en,5.5,853
Madanolsavam,1978,149,"Drama,Romance",IN,te,7.3,72
Mast Kalandar,1991,143,"Action,Drama,Thriller",IN,\N,5.5,65
Mastana,1954,\N,"Drama,Family",IN,en,6.7,7
Mehboob Ki Mehndi,1971,151,"Drama,Musical,Romance",IN,en,6.9,170
Mere Mehboob,1963,164,"Comedy,Drama,Romance",IN,hi,6.9,247
A Woman Heats the Sauna,1979,69,Drama,IN,en,6.7,95
Espousal,1974,\N,"Action,Drama",IN,\N,5.1,35
Peddamanushulu,1954,191,Drama,IN,\N,7.6,16
Plum Blossom,2000,118,"Drama,Romance",IN,en,5.9,370
Pocket Maar,1956,136,"Action,Crime,Drama",IN,\N,7.1,66
Poojaphalam,1964,156,Drama,IN,\N,7.7,10
Raat,1992,127,Horror,IN,en,7.0,1493
Raja Makutam,1959,179,"Action,Drama,Romance",IN,\N,7.2,16
Ramnagri,1982,\N,Drama,IN,\N,5.7,13
Rangula Ratnam,1966,181,Drama,IN,\N,7.5,14
Rush Hour 2,2001,90,"Action,Comedy,Crime",IN,hi,6.7,255162
Sagai,1951,129,Drama,IN,hi,6.6,16
Samundar,1986,144,"Action,Crime,Drama",IN,en,5.4,216
Sant Rohidas,1982,\N,\N,IN,\N,5.2,7
Sathyabhamakkoru Premalekhanam,1996,\N,\N,IN,\N,4.7,22
Shri Krishna Satya,1971,\N,"Drama,Musical",IN,en,8.1,25
Spy Game,2001,126,"Action,Crime,Thriller",IN,en,7.1,175272
Thamburatti,1978,\N,Drama,IN,ml,8.0,12
Umachandi Gauri Shankarula Katha,1968,\N,"Drama,Musical",IN,\N,7.6,6
Vadakakkoru Hridhyam,1979,154,Drama,IN,ml,6.6,11
Yodha,1991,142,"Action,Drama",IN,en,4.6,335
Zangbo and the Zing Zing Bar,1977,\N,\N,IN,\N,4.2,11
Zid,1945,\N,\N,IN,en,2.0,11
Aalaapana,1986,\N,"Drama,Musical,Thriller",IN,\N,6.7,24
Aayatya Gharat Gharoba,1991,138,"Comedy,Drama,Musical",IN,en,7.9,306
Aatish: Feel the Fire,1994,155,"Action,Crime,Drama",IN,en,6.0,975
Abandon,2002,99,"Drama,Mystery,Romance",IN,en,4.8,10394
Ajay,1996,146,"Action,Drama,Romance",IN,en,4.1,289
Amchyasarkhe Aamich,1990,233,"Comedy,Crime",IN,mr,7.6,98
Anmol Ratan,1950,\N,"Drama,Family",IN,\N,6.0,9
Ashi Hi Banwa Banwi,1988,137,Comedy,IN,hi,9.0,2271
Atmavishwas,1989,\N,Drama,IN,\N,8.5,68
Baap Beti,1954,\N,Drama,IN,en,7.1,20
Balloon,1982,\N,\N,IN,\N,4.8,22
Bhutacha Bhau,1989,150,"Comedy,Crime,Drama",IN,\N,7.7,109
Champalakadu,1982,113,\N,IN,ml,5.4,14
Chandni Bar,2001,150,"Crime,Drama",IN,en,7.6,2907
Changatham,1983,160,"Comedy,Drama",IN,\N,6.2,34
Chilika Teerey,1977,164,Drama,IN,\N,7.9,16
Detective Naarada,1993,\N,"Comedy,Drama,Thriller",IN,en,6.0,240
Devara Kaadu,1994,120,Drama,IN,en,8.8,70
Dhanwaan,1993,149,"Comedy,Drama,Romance",IN,\N,3.9,351
The Holy Year,1935,152,\N,IN,\N,6.8,14
Duniya Rang Rangili,1957,\N,"Comedy,Drama",IN,\N,5.4,9
Enthino Pookunna Pookal,1982,141,Drama,IN,\N,5.6,25
Gammat Jammat,1987,145,"Comedy,Drama",IN,hi,7.4,153
Ghatotkachudu,1995,170,"Comedy,Drama,Fantasy",IN,en,7.1,133
Haseena Maan Jaayegi,1999,147,"Action,Comedy,Romance",IN,en,6.3,3971
Idiyum Minnalum,1982,\N,\N,IN,\N,7.0,13
Iniyenkilum,1983,201,"Action,Drama,Thriller",IN,\N,5.9,49
Innalenkil Nale,1982,\N,\N,IN,\N,4.9,13
Courage,1992,161,"Action,Crime,Drama",IN,en,5.1,971
K-19: The Widowmaker,2002,138,"Drama,History,Thriller",IN,en,6.7,70921
Khota Paisa,1958,145,Drama,IN,\N,4.9,11
Komaran,1982,\N,\N,IN,\N,5.1,10
The Child,2000,133,Drama,IN,\N,8.2,15
Life and Message of Swami Vivekananda,1964,\N,Documentary,IN,\N,8.3,20
Lunch with Charles,2001,94,"Adventure,Comedy,Drama",IN,en,6.6,148
Maha Prithibi,1981,78,Drama,IN,\N,6.5,9
Mai Baap,1957,144,"Comedy,Drama",IN,\N,7.2,26
Maidan-E-Jung,1995,155,"Action,Drama",IN,en,3.7,623
Mantramugdhu,1949,\N,Drama,IN,\N,6.4,11
Mayalodu,1993,149,"Comedy,Drama",IN,en,6.7,156
Maza Pati Karodpati,1988,130,Drama,IN,en,7.0,143
Megha,1996,\N,Romance,IN,\N,3.7,77
Mounam,1995,\N,"Action,Romance,Thriller",IN,en,5.2,17
Musafir Khana,1955,\N,"Drama,Family",IN,\N,6.0,7
Nakshathrangale Kaaval,1978,\N,\N,IN,\N,7.0,12
The Boy Gets a Bride,1984,142,Comedy,IN,en,8.0,100
Number One,1994,131,"Action,Comedy,Drama",IN,\N,7.1,64
Oho Naa Pellanta,1996,\N,Comedy,IN,\N,6.2,22
The One,2001,87,"Action,Sci-Fi,Thriller",IN,en,5.9,98916
Oothikachiya Ponnu,1981,129,Drama,IN,\N,5.7,27
Oru Mukham Pala Mukham,1983,124,Drama,IN,\N,5.8,25
Papi Gudia,1996,130,"Horror,Thriller",IN,hi,2.5,1091
Pehla Aadmi,1950,\N,"Drama,History",IN,\N,6.4,12
Pin Nilavu,1983,119,"Comedy,Drama",IN,ml,6.5,38
Police Officer,1992,158,Action,IN,\N,4.1,105
Ponnum Poovum,1982,\N,Drama,IN,\N,6.6,18
Prem Shakti,1994,140,"Action,Drama,Fantasy",IN,hi,4.0,114
Prema & Co.,1994,\N,"Comedy,Drama",IN,\N,5.3,11
Rajendrudu Gajendrudu,1993,152,"Comedy,Drama",IN,en,7.4,227
Sandhyakku Virinja Poovu,1983,125,Drama,IN,\N,6.2,47
Sara Varsham,1982,\N,"Crime,Drama,Thriller",IN,\N,6.5,16
Scooby-Doo,2002,86,"Adventure,Comedy,Family",IN,en,5.4,137059
The Search,1981,\N,"Drama,Horror",IN,\N,6.7,18
Subhalagnam,1994,145,Drama,IN,te,7.4,156
Silsila Hai Pyar Ka,1999,150,"Comedy,Drama,Romance",IN,\N,2.9,275
Heartbeat,1982,135,Drama,IN,\N,5.9,14
Sri Kanaka Mahalakshmi Recording Dance Troupe,1987,127,"Comedy,Drama,Musical",IN,\N,7.6,73
Sri Krishnarjuna Vijayam,1996,131,"Action,Drama,Fantasy",IN,\N,6.9,78
Suryaputrulu,1996,\N,"Action,Drama",IN,\N,7.9,19
Top Hero,1994,\N,Drama,IN,\N,6.7,111
Vajram,1995,125,"Action,Drama",IN,hi,4.7,56
Visa,1983,126,Drama,IN,\N,6.1,26
Yamaleela,1994,140,"Comedy,Drama,Fantasy",IN,en,7.6,326
Aar Paar,1985,145,"Action,Drama",IN,bn,7.0,77
Uravaadum Nenjam,1976,\N,\N,IN,ml,4.7,9
Adaptation.,2002,115,"Comedy,Drama",IN,en,7.7,211589
Ajanabee,1974,139,"Drama,Romance",IN,en,6.5,260
Alag Alag,1985,174,"Family,Musical,Romance",IN,\N,5.6,123
Ananda Ashram,1977,127,"Drama,Family",IN,hi,7.4,204
Anurodh,1977,147,"Drama,Family",IN,\N,6.8,225
Awaaz,1984,150,"Action,Drama,Romance",IN,en,6.3,80
Ayaash,1982,131,Romance,IN,en,5.5,49
Baghavat,1982,144,"Action,Adventure,Drama",IN,en,6.3,125
Bahu,1955,\N,"Drama,Family",IN,\N,7.1,14
Bandhan Kuchchey Dhaagon Ka,1983,124,"Drama,Family",IN,en,7.1,51
Bazooband,1954,\N,\N,IN,en,6.0,7
Charas,1976,159,"Action,Drama,Romance",IN,en,6.5,239
China Town,1962,151,"Comedy,Crime,Romance",IN,\N,7.0,262
Close Enough to Touch,2002,87,"Drama,Romance,Thriller",IN,en,4.5,321
Detective,1958,114,Mystery,IN,\N,6.4,20
Edurinti Mogudu Pakkinti Pellam,1991,135,Comedy,IN,\N,7.2,126
Geetanjali,1993,150,Drama,IN,\N,5.9,56
Ghar Basake Dekho,1963,139,"Comedy,Drama",IN,\N,6.5,31
Grahasti,1963,154,"Drama,Family",IN,en,7.3,74
Hare Kanch Ki Chooriyan,1967,165,"Drama,Family,Romance",IN,\N,6.5,29
Hill Station,1957,\N,Romance,IN,\N,7.0,20
Hum Se Hai Zamana,1983,119,Action,IN,en,5.7,68
The Princess and the Hunter,1935,164,"Action,Adventure",IN,en,5.1,38
Ice Age,2002,81,"Adventure,Animation,Comedy",IN,en,7.5,553345
Iddaru Pellala Muddula Police,1991,143,Comedy,IN,\N,6.4,51
Inspector,1956,\N,Action,IN,\N,5.8,27
Issi Ka Naam Dunia Hai,1962,130,"Drama,Music",IN,\N,5.3,14
Jaane-Anjaane,1971,139,Drama,IN,en,6.4,55
Jalte Badan,1973,\N,Drama,IN,\N,5.4,21
Jayikkanaayi Janichavan,1978,\N,\N,IN,\N,4.2,13
Jimmy Neutron: Boy Genius,2001,82,"Action,Adventure,Animation",IN,hi,6.1,40040
Kahin Pyaar Na Ho Jaaye,2000,159,"Comedy,Drama,Musical",IN,en,4.4,2764
Khwab,1980,115,"Crime,Drama,Romance",IN,en,6.4,59
Lalkar (The Challenge),1972,\N,"Action,Drama,Romance",IN,en,6.6,141
Lucky Chance,1994,120,\N,IN,\N,5.6,12
Meri Adaalat,1984,131,"Action,Thriller",IN,ta,5.3,41
Mudhra Mothiram,1978,135,\N,IN,\N,4.1,9
Mukkuvane Snehicha Bhootham,1978,134,\N,IN,\N,6.3,9
Naughty Boy,1962,128,Comedy,IN,en,5.4,360
Padakuthira,1978,\N,Drama,IN,\N,4.7,12
Pagla Kahin Ka,1970,139,"Drama,Romance",IN,\N,7.3,103
Pakhandi,1984,138,Drama,IN,en,6.2,49
Phir Subha Hogi,1958,168,"Drama,Romance",IN,hi,7.8,102
Prem Bandhan,1979,\N,"Adventure,Drama,Romance",IN,en,6.9,56
Salma,1985,\N,"Drama,Musical,Romance",IN,\N,6.6,38
Samadhi,1950,165,Drama,IN,\N,7.0,49
Sandhya Raag,1977,159,\N,IN,en,7.4,13
Sarothi,1991,\N,\N,IN,en,5.8,8
Sawan Aya Re,1949,\N,\N,IN,\N,6.3,10
Shagoon,1964,125,"Drama,Family",IN,en,6.8,38
Sheroo,1957,\N,"Drama,Family",IN,\N,6.9,19
Singapore,1960,135,"Crime,Thriller",IN,\N,6.4,98
Vayanadan Thampan,1978,100,Horror,IN,ta,6.7,37
Aa Rathri,1983,137,"Drama,Thriller",IN,ml,6.4,142
Aalkkoottathil Thaniye,1984,139,"Drama,Romance",IN,en,7.3,161
Aarorumariyathe,1984,\N,"Comedy,Drama",IN,\N,7.3,13
Aattuvanchi Ulanjappol,1984,\N,Drama,IN,en,7.3,17
Aayiram Abilashangal,1984,\N,\N,IN,\N,7.1,11
Akkare,1984,118,"Comedy,Drama",IN,en,7.8,117
Aksharangal,1984,\N,\N,IN,\N,7.6,48
Alakadalinakkare,1984,\N,\N,IN,\N,6.8,21
Amar Jyoti,1936,166,Drama,IN,en,6.5,27
Aananda Jothi,1963,152,"Action,Crime,Drama",IN,te,7.2,38
Angadikkappurath,1985,155,\N,IN,\N,7.0,18
Arasilankumari,1961,140,"Action,Crime,Drama",IN,\N,5.8,14
Ariyatha Veethikal,1984,111,Drama,IN,\N,7.4,29
Athirathram,1984,156,"Action,Crime,Drama",IN,\N,7.2,255
Ayanam,1985,114,"Comedy,Drama",IN,\N,6.0,23
A Beautiful Mind,2001,135,"Biography,Drama,Mystery",IN,hi,8.2,1037359
Bhavani Junction,1985,128,"Action,Crime,Thriller",IN,\N,6.0,68
The Majestic,2001,152,"Drama,Romance",IN,en,6.9,60031
Secret Tears,2000,105,"Drama,Horror,Romance",IN,en,5.4,195
Chaduvukunna Ammayilu,1963,163,Drama,IN,\N,7.6,21
Chakkarayumma,1984,\N,Drama,IN,\N,6.7,21
Chelleli Kapuram,1971,167,"Drama,Musical",IN,\N,7.7,18
Chhabili,1960,\N,"Drama,Family",IN,\N,5.9,10
Chinnabbayi,1997,\N,"Action,Drama,Romance",IN,\N,5.2,77
City by the Sea,2002,108,"Crime,Drama,Mystery",IN,en,6.1,27416
Edavelakku Sesham,1984,\N,\N,IN,\N,6.4,20
Engane Undasane,1984,\N,\N,IN,\N,7.1,10
Ente Kanakkuyil,1985,116,"Drama,Romance",IN,ml,5.4,13
Ethirppukal,1984,\N,\N,IN,\N,6.0,10
The River,1961,151,Drama,IN,\N,7.9,37
Garvo Garasiyo,1979,\N,Drama,IN,\N,7.7,8
Gunsundari No Ghar Sansar,1972,\N,\N,IN,\N,7.9,10
Holiday in Bombay,1963,\N,Drama,IN,\N,6.1,27
Hum Ek Hain,1946,121,Drama,IN,\N,7.6,37
Hum Panchhi Ek Daal Ke,1957,\N,Drama,IN,\N,7.3,19
The Hunted,2003,94,"Action,Crime,Drama",IN,en,6.1,53932
Itha Innu Muthal,1984,\N,"Action,Comedy",IN,en,6.3,28
Light of Life,1975,146,Drama,IN,hi,7.7,27
Jigar Ane Ami,1970,\N,Romance,IN,en,7.2,11
Kanamarayathu,1984,130,"Drama,Romance",IN,en,7.4,181
Kanne Manasulu,1966,151,Drama,IN,en,5.7,9
Kattaruvi,1983,\N,\N,IN,\N,5.5,12
Kinnaram,1983,124,Comedy,IN,\N,7.0,62
Kodumkattu,1983,\N,\N,IN,\N,6.5,22
Koottinilamkili,1984,\N,"Comedy,Drama,Romance",IN,\N,6.6,24
Safe Conduct,2002,170,"Biography,Drama,History",IN,en,6.9,1693
Lakshmana Rekha,1984,113,Drama,IN,\N,7.2,41
Lone Star State of Mind,2002,88,"Comedy,Crime",IN,hi,6.0,3391
My Wife Is an Actress,2001,95,"Comedy,Drama,Romance",IN,en,6.4,3825
Mangalyaniki Maromudi,1976,\N,Drama,IN,\N,8.6,7
Manithali,1984,\N,\N,IN,ml,5.0,11
Maniyara,1983,120,Drama,IN,\N,6.6,17
Mansoru Maha Samudram,1983,\N,\N,IN,\N,6.0,12
Manya Mahajanangale,1985,\N,\N,IN,\N,5.2,11
Maro Prapancham,1970,155,Drama,IN,\N,7.4,32
Nathi Muthal Nathi Vare,1983,\N,\N,IN,\N,6.8,13
O Seeta Katha,1974,\N,Drama,IN,\N,8.1,13
Onnanu Nammal,1984,115,"Comedy,Drama,Romance",IN,\N,6.7,31
Onningu Vannengil,1985,126,\N,IN,\N,7.4,20
Onnu Chirikku,1983,\N,"Comedy,Drama",IN,\N,5.9,21
Onnum Mindatha Bharya,1984,144,\N,IN,\N,7.3,13
Opera House,1961,107,"Action,Crime,Drama",IN,en,5.8,29
Oru Kochukatha Aarum Parayatha Katha,1984,126,Drama,IN,\N,7.4,19
Oru Madapravinte Katha,1983,115,\N,IN,\N,4.1,14
Oru Nokku Kanan,1985,\N,"Comedy,Drama,Romance",IN,\N,6.7,36
Oru Sandesam Koodi,1985,\N,Drama,IN,\N,7.6,15
Oru Swakaryam,1983,\N,\N,IN,\N,5.7,15
Pavam Poornima,1984,131,\N,IN,\N,6.5,23
Prathigna,1983,\N,"Action,Crime,Drama",IN,ml,5.7,51
Raja Ki Ayegi Baraat,1997,158,"Drama,Romance",IN,en,3.6,648
Raja Kumari,1947,134,Drama,IN,\N,6.6,8
Repati Pourulu,1988,\N,\N,IN,\N,7.3,11
Rugma,1983,112,Drama,IN,\N,7.3,16
Sagaram Santham,1983,126,\N,IN,\N,7.1,17
Sajjo Rani,1976,\N,Drama,IN,\N,6.5,10
Ravoyi Chandamama,1999,\N,"Drama,Romance",IN,te,4.8,237
Sandhyakenthinu Sindooram,1984,\N,\N,IN,\N,7.7,17
Sandharbham,1984,138,Drama,IN,\N,8.4,86
Sati Jasma Odan,1976,\N,Drama,IN,\N,8.3,11
Seetamalakshmi,1978,\N,"Drama,Musical",IN,\N,7.9,25
Kodathi,1984,150,Drama,IN,\N,7.3,17
Ritual,2000,128,Drama,IN,hi,7.5,3181
Subhodayam,1980,\N,"Comedy,Drama,Musical",IN,\N,7.4,34
Tanariri,1975,120,"Biography,Drama,History",IN,\N,7.4,13
Tene Manasulu,1965,174,Drama,IN,hi,6.8,23
Thangapathumai,1959,\N,\N,IN,\N,5.2,6
Thirakil Alppam Samayam,1984,134,"Drama,Romance",IN,\N,7.5,11
Thirumagal,1971,137,\N,IN,\N,3.3,7
Veendum Chalikkunna Chakram,1984,\N,\N,IN,\N,6.5,15
Velaikkari,1949,186,\N,IN,\N,8.8,7
Vetta,1984,\N,\N,IN,\N,7.5,16
Yadon Ki Kasam,1985,137,Action,IN,\N,6.5,53
Yaar Kasam,1985,\N,Action,IN,en,6.6,13
Zhongguo Taishan li xian ji,1939,\N,Adventure,IN,hi,6.5,26
Baat Ban Jaye,1986,148,Comedy,IN,\N,6.4,215
Confessions of a Dangerous Mind,2002,113,"Biography,Comedy,Crime",IN,en,7.0,94686
Daku Hasina,1987,\N,"Action,Drama",IN,en,5.4,50
Nagarahole,1977,170,"Drama,Family",IN,kn,8.0,36
Maximum Penalty,2001,80,Comedy,IN,en,6.9,540
Shri Krishna Leela,1971,\N,"Adventure,Comedy,Drama",IN,en,7.7,34
Aag Ke Sholay,1988,138,"Action,Thriller",IN,\N,4.5,18
Superbabies: Baby Geniuses 2,2004,88,"Comedy,Family,Sci-Fi",IN,en,1.5,32061
Champion,2000,140,"Action,Comedy,Drama",IN,\N,4.6,735
Escaflowne: The Movie,2000,98,"Action,Adventure,Animation",IN,en,6.5,3976
My Boss's Daughter,2003,86,"Comedy,Romance",IN,en,4.7,31437
Kab? Kyoon? Aur Kahan?,1970,136,"Action,Mystery,Romance",IN,en,6.8,156
