primaryTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,language
The Mosquito Coast,1986,117,"Adventure,Drama,Thriller",6.6,32907,hi
Mouna Ragam,1986,146,"Drama,Musical,Romance",8.4,4692,hi
My Beautiful Laundrette,1985,97,"Comedy,Drama,Romance",6.8,18417,hi
Naam,1986,177,"Action,Crime,Drama",7.3,1227,hi
Nagina,1986,137,"Fantasy,Romance",6.4,1304,hi
The Name of the Rose,1986,130,"Drama,Mystery,Thriller",7.7,124766,ta
9½ Weeks,1986,117,"Drama,Romance",5.9,46180,hi
Platoon,1986,120,"Drama,War",8.1,463840,hi
Poltergeist II: The Other Side,1986,91,Horror,5.7,32290,hi
Pretty in Pink,1986,97,"Comedy,Drama,Romance",6.7,93700,hi
Psycho III,1986,93,"Horror,Mystery,Thriller",5.5,17984,hi
Raw Deal,1986,106,"Action,Crime,Thriller",5.6,40225,hi
Reform School Girls,1986,94,"Crime,Drama,Thriller",5.4,3184,hi
White Slave,1985,90,"Adventure,Drama,Horror",4.7,2286,hi
Separate Vacations,1986,91,Comedy,4.5,305,hi
Short Circuit,1986,98,"Comedy,Family,Sci-Fi",6.6,69559,hi
Soul Man,1986,104,"Comedy,Romance",5.3,9670,hi
Stand by Me,1986,89,"Adventure,Comedy,Drama",8.1,474573,hi
Star Trek IV: The Voyage Home,1986,119,"Adventure,Comedy,Sci-Fi",7.3,95357,hi
Castle in the Sky,1986,124,"Adventure,Animation,Family",8.0,194359,ml
The Texas Chainsaw Massacre 2,1986,101,"Comedy,Horror",5.6,42499,hi
Troll,1986,82,"Comedy,Fantasy,Horror",4.6,12510,hi
The Venetian Woman,1986,83,"Drama,Romance",4.9,690,hi
Scandalous Emanuelle,1986,91,Drama,4.1,377,hi
Welcome to 18,1986,91,"Comedy,Drama",5.7,357,hi
A Better Tomorrow,1986,95,"Action,Crime,Drama",7.4,27581,te
The Seventh Curse,1986,83,"Action,Horror",6.7,2159,hi
Passion,1986,95,"Drama,Romance",6.9,139,hi
Angel Heart,1987,113,"Horror,Mystery,Thriller",7.2,101922,hi
Antarjali Jatra,1987,130,Drama,7.3,167,hi
Arabella: Black Angel,1989,89,"Drama,Mystery,Romance",5.3,990,hi
Aria,1987,90,"Comedy,Drama,Music",5.7,3315,hi
Benji the Hunted,1987,88,"Adventure,Family",6.2,3604,hi
Beverly Hills Cop II,1987,103,"Action,Comedy,Crime",6.6,145754,hi
Blind Date,1987,95,"Comedy,Romance",6.0,25466,hi
Born of Fire,1987,84,"Drama,Fantasy,Horror",6.0,782,hi
The Brave Little Toaster,1987,90,"Adventure,Animation,Family",7.2,28976,hi
Can't Buy Me Love,1987,94,"Comedy,Drama,Romance",6.8,45059,hi
Capriccio,1987,98,"Drama,Romance",4.7,1444,hi
Castaway,1986,117,"Adventure,Biography,Drama",5.8,3737,hi
Cobra nero,1987,86,"Action,Thriller",4.3,722,hi
Dirty Dancing,1987,100,"Drama,Music,Romance",7.1,274808,hi
Dot Goes to Hollywood,1987,73,"Adventure,Animation,Comedy",5.2,64,hi
Empire of the Sun,1987,153,"Drama,War",7.7,140469,hi
Evil Dead II,1987,84,"Comedy,Horror",7.7,193163,hi
What Every Frenchwoman Wants,1986,95,Comedy,5.6,6475,hi
The Sweet Charm of Sin,1987,104,Drama,4.3,178,hi
Fatal Attraction,1987,119,"Drama,Thriller",6.9,108592,hi
Full Metal Jacket,1987,116,"Drama,War",8.2,836162,hi
The Good Father,1985,90,Drama,6.3,731,hi
Harry and the Hendersons,1987,110,"Comedy,Family,Fantasy",6.1,39925,hi
Hellraiser,1987,94,"Horror,Thriller",6.9,151205,hi
Hotel Colonial,1987,104,"Adventure,Drama",4.1,348,hi
Alpine Fire,1985,119,Drama,7.0,1141,hi
Innerspace,1987,120,"Action,Adventure,Comedy",6.8,68595,hi
Jaws: The Revenge,1987,89,"Adventure,Horror,Thriller",3.1,52853,hi
La Bamba,1987,108,"Biography,Drama,Music",7.0,38749,hi
The Last Emperor,1987,163,"Biography,Drama,History",7.7,117625,ta
Lethal Weapon,1987,109,"Action,Crime,Thriller",7.6,291019,hi
The Living Daylights,1987,130,"Action,Adventure,Thriller",6.7,111818,hi
The Lost Boys,1987,97,"Comedy,Horror",7.2,174039,hi
Masks,1987,100,"Crime,Drama,Mystery",6.8,1966,hi
Masters of the Universe,1987,106,"Action,Adventure,Fantasy",5.4,47329,hi
Maurice,1987,140,"Drama,Romance",7.6,26240,hi
Moonstruck,1987,102,"Comedy,Drama,Romance",7.2,76524,hi
Mr. India,1987,179,"Action,Comedy,Drama",7.7,18785,hi
Nayakan,1987,145,"Crime,Drama",8.6,27212,hi
Nazrana,1987,\N,Romance,5.1,140,hi
Nekromantik,1988,71,Horror,4.8,11966,hi
A Nightmare on Elm Street 3: Dream Warriors,1987,96,"Fantasy,Horror",6.7,98087,hi
No Way Out,1987,114,"Action,Crime,Drama",7.1,53652,hi
"Planes, Trains & Automobiles",1987,93,"Comedy,Drama",7.6,173973,bn
Predator,1987,107,"Action,Adventure,Horror",7.8,487869,gu
The Princess Bride,1987,98,"Adventure,Comedy,Family",8.0,475314,hi
Project X,1987,108,"Comedy,Drama,Sci-Fi",6.2,13337,hi
Raising Arizona,1987,94,"Comedy,Crime",7.3,158413,hi
RoboCop,1987,102,"Action,Crime,Sci-Fi",7.6,302777,bn
Roxanne,1987,107,"Comedy,Romance",6.6,49494,hi
The Running Man,1987,101,"Action,Sci-Fi,Thriller",6.6,181370,hi
The Secret of My Success,1987,111,"Comedy,Romance",6.5,38901,hi
September,1987,83,Drama,6.5,10938,hi
Shahenshah,1988,175,"Action,Adventure",6.3,2666,hi
A Chinese Ghost Story,1987,98,"Action,Fantasy,Horror",7.3,12115,hi
"Sister, Sister",1987,91,"Drama,Mystery,Romance",5.5,1504,hi
Slam Dance,1987,92,"Crime,Drama,Mystery",5.2,1958,hi
Stakeout,1987,117,"Action,Comedy,Crime",6.7,29886,hi
The Stepfather,1987,89,"Horror,Thriller",6.7,20370,hi
Stripped to Kill,1987,88,"Crime,Drama,Horror",4.9,1954,hi
Summer Heat,1987,80,Drama,4.8,490,hi
Top Model,1988,85,Drama,4.4,761,hi
The Untouchables,1987,119,"Crime,Drama,Thriller",7.8,348768,hi
Wall Street,1987,126,"Crime,Drama",7.3,172363,hi
Watan Ke Rakhwale,1987,149,"Action,Drama,Thriller",5.5,179,hi
The Witches of Eastwick,1987,118,"Comedy,Fantasy,Horror",6.6,82868,hi
1969,1988,95,"Drama,War",5.7,4166,hi
Above the Law,1988,99,"Action,Crime,Drama",6.0,36507,hi
The Accused,1988,111,"Crime,Drama",7.1,42384,hi
Agni Natchathiram,1988,146,"Action,Crime,Drama",7.7,1517,hi
Akira,1988,124,"Action,Animation,Drama",8.0,221072,hi
Beaches,1988,123,"Comedy,Drama,Music",7.0,30367,hi
The Beast of War,1988,111,"Adventure,Drama,War",7.3,11426,hi
Bees Saal Baad,1989,141,"Horror,Mystery",5.2,223,hi
Beetlejuice,1988,92,"Comedy,Fantasy",7.4,411546,gu
Big,1988,104,"Comedy,Drama,Fantasy",7.3,254491,hi
Big Business,1988,97,Comedy,6.4,16553,hi
Biloxi Blues,1988,106,"Comedy,Drama",6.7,17318,hi
Blue Movies,1988,92,Comedy,4.3,237,hi
Bull Durham,1988,108,"Comedy,Romance,Sport",7.0,63008,hi
Casual Sex?,1988,97,Comedy,5.1,4524,hi
Child's Play,1988,87,"Horror,Thriller",6.7,128710,hi
Cocktail,1988,104,"Comedy,Drama,Romance",5.9,96768,hi
Cocoon: The Return,1988,116,"Adventure,Comedy,Mystery",5.4,18028,hi
Coming to America,1988,117,"Comedy,Romance",7.1,236109,hi
Dangerous Liaisons,1988,119,"Drama,Romance",7.5,78662,hi
Day of the Panther,1988,84,Action,4.5,583,hi
Dayavan,1988,173,"Action,Crime,Drama",6.4,710,hi
Dead Ringers,1988,116,"Drama,Horror,Thriller",7.2,57797,hi
Demonwarp,1988,91,"Horror,Mystery,Sci-Fi",4.7,828,hi
Die Hard,1988,132,"Action,Thriller",8.2,1005348,hi
Frantic,1988,120,"Crime,Drama,Mystery",6.8,60701,hi
Gangaa Jamunaa Saraswathi,1988,187,"Action,Drama,Romance",4.7,790,hi
Gorillas in the Mist,1988,129,"Biography,Drama",7.0,30780,hi
The Big Blue,1988,168,"Adventure,Drama,Sport",7.5,57834,hi
Hairspray,1988,92,"Comedy,Drama,Family",7.0,24815,hi
Heart of Midnight,1988,93,"Drama,Horror,Thriller",5.4,1916,hi
Heartbreak Hotel,1988,97,"Comedy,Musical,Romance",5.7,1638,hi
Hellbound: Hellraiser II,1988,97,"Horror,Thriller",6.4,59853,hi
Grave of the Fireflies,1988,88,"Animation,Drama,War",8.5,366200,hi
Inteqam,1988,\N,"Action,Drama,Musical",4.3,116,hi
Police Story 2,1988,101,"Action,Comedy,Crime",7.1,24520,ml
Khatron Ke Khiladi,1988,156,"Action,Drama",4.7,270,hi
The Lair of the White Worm,1988,93,"Comedy,Horror",6.1,17397,hi
The Last Temptation of Christ,1988,164,Drama,7.5,66790,hi
License to Drive,1988,88,Comedy,6.3,24026,hi
Little Nikita,1988,98,"Drama,Thriller",5.9,6320,hi
Midnight Run,1988,126,"Action,Comedy,Crime",7.5,101633,hi
Mississippi Burning,1988,128,"Crime,Drama,Mystery",7.8,125028,hi
Monkey Shines,1988,113,"Drama,Horror,Sci-Fi",6.2,14217,hi
A Nightmare on Elm Street 4: The Dream Master,1988,93,Horror,5.6,66767,hi
Cinema Paradiso,1988,174,"Drama,Romance",8.5,308407,bn
Poltergeist III,1988,98,"Horror,Thriller",4.7,22109,hi
Qayamat Se Qayamat Tak,1988,162,"Drama,Musical,Romance",7.4,11765,hi
Rain Man,1988,133,Drama,8.0,574118,bn
Ram-Avtar,1988,170,"Action,Drama,Romance",4.6,302,hi
Rambo III,1988,102,"Action,Adventure,Thriller",5.8,147272,hi
Red Heat,1988,104,"Action,Comedy,Crime",6.1,80249,hi
Salaam Bombay!,1988,113,"Crime,Drama",7.9,10805,ml
Scrooged,1988,101,"Comedy,Drama,Fantasy",6.9,124570,hi
Short Circuit 2,1988,110,"Comedy,Drama,Family",5.8,27955,hi
Snack Bar Budapest,1988,98,"Comedy,Crime,Drama",4.1,927,hi
The Vanishing,1988,107,"Mystery,Thriller",7.7,52715,hi
Tequila Sunrise,1988,115,"Crime,Drama,Romance",6.1,35587,hi
They Live,1988,94,"Action,Horror,Sci-Fi",7.2,159471,hi
My Neighbor Totoro,1988,86,"Adventure,Animation,Comedy",8.1,419269,hi
Twins,1988,107,"Comedy,Crime",6.2,144925,hi
Two Moon Junction,1988,104,"Drama,Romance",5.0,7081,hi
The Unbearable Lightness of Being,1988,171,"Drama,Romance",7.2,40217,hi
Vice Versa,1988,98,"Comedy,Fantasy",5.9,11070,hi
Vijay,1988,172,"Action,Drama,Romance",5.4,430,hi
Waqt Ki Awaz,1988,156,"Action,Crime,Drama",5.3,179,hi
Who Framed Roger Rabbit,1988,104,"Adventure,Animation,Comedy",7.7,229575,hi
Willow,1988,126,"Action,Adventure,Drama",7.2,137367,hi
Witchery,1989,95,Horror,4.4,2623,hi
Young Guns,1988,107,"Action,Drama,Western",6.8,72472,hi
The Student,1988,104,"Comedy,Romance",5.8,2550,hi
The Abyss,1989,140,"Adventure,Drama,Mystery",7.5,205376,hi
All Dogs Go to Heaven,1989,84,"Adventure,Animation,Comedy",6.8,49656,hi
Apoorva Sagodharargal,1989,157,"Action,Comedy,Drama",8.3,4978,te
Back to the Future Part II,1989,108,"Adventure,Comedy,Sci-Fi",7.8,608941,ml
Batman,1989,126,"Action,Adventure",7.5,426104,bn
Best of the Best,1989,97,"Action,Drama,Sport",6.4,16427,hi
Black Rain,1989,125,"Action,Crime,Drama",6.6,63163,hi
Blind Fury,1989,86,"Action,Comedy,Crime",6.3,19957,hi
Cat Chaser,1989,90,"Crime,Drama,Thriller",5.2,1626,hi
Chandni,1989,186,"Drama,Musical,Romance",6.7,2282,hi
The Adventures of Milo and Otis,1986,76,"Adventure,Drama,Family",6.9,13354,hi
"The Cook, the Thief, His Wife & Her Lover",1989,124,"Crime,Drama",7.5,44223,hi
Dead Calm,1989,96,"Horror,Thriller",6.8,46952,hi
Dead Poets Society,1989,128,"Comedy,Drama",8.1,619650,hi
Eat a Bowl of Tea,1989,102,"Comedy,Drama,Romance",6.3,866,hi
The Fabulous Baker Boys,1989,114,"Comedy,Drama,Music",6.9,27155,hi
Fat Man and Little Boy,1989,127,"Biography,Drama,History",6.5,9692,hi
Field of Dreams,1989,107,"Drama,Family,Fantasy",7.5,136608,hi
The 15 Year Old Girl,1989,86,"Drama,Romance",5.9,463,hi
The Fly II,1989,105,"Drama,Horror,Sci-Fi",5.2,26042,hi
An Enemy of the People,1989,99,Drama,7.3,1674,hi
Kaadhalan,1994,168,"Action,Drama,Romance",7.1,2339,hi
Ghostbusters II,1989,108,"Action,Comedy,Fantasy",6.6,236587,ta
Geethanjali,1989,150,"Drama,Musical,Romance",8.3,3128,hi
Glory,1989,122,"Biography,Drama,History",7.8,151199,hi
The Gods Must Be Crazy II,1989,98,Comedy,6.8,18838,hi
Great Balls of Fire!,1989,108,"Biography,Drama,Music",6.3,19593,hi
Harlem Nights,1989,116,"Comedy,Crime,Drama",6.1,26428,hi
Heathers,1989,103,"Comedy,Crime",7.1,124619,hi
"Honey, I Shrunk the Kids",1989,93,"Adventure,Comedy,Family",6.4,174459,hi
Ilaaka,1989,161,"Action,Drama",4.7,231,hi
Indiana Jones and the Last Crusade,1989,127,"Action,Adventure",8.2,851069,ml
Jaadugar,1989,173,"Comedy,Fantasy",4.3,634,hi
The January Man,1989,97,"Action,Comedy,Crime",5.5,9913,hi
The Karate Kid Part III,1989,112,"Action,Drama,Family",5.4,75712,hi
Kickboxer,1989,97,"Action,Sport,Thriller",6.4,65229,hi
Lethal Weapon 2,1989,114,"Action,Crime,Thriller",7.3,198354,hi
Licence to Kill,1989,133,"Action,Adventure,Thriller",6.7,117665,hi
The Little Mermaid,1989,83,"Adventure,Animation,Family",7.6,306735,hi
Loverboy,1989,98,Comedy,6.1,9325,hi
Main Tera Dushman,1989,155,"Action,Adventure,Crime",4.3,129,hi
Kiki's Delivery Service,1989,103,"Animation,Family,Fantasy",7.8,182587,hi
Mathilukal,1990,120,"Drama,Romance",8.2,1774,ml
Mujrim,1989,163,"Action,Crime",5.4,296,hi
National Lampoon's Christmas Vacation,1989,97,Comedy,7.5,237213,hi
A Nightmare on Elm Street: The Dream Child,1989,89,"Fantasy,Horror",5.0,54897,hi
White Wedding,1989,92,"Drama,Romance",6.8,2992,hi
Paprika,1991,99,Drama,5.5,5980,hi
Parenthood,1989,124,"Comedy,Drama",7.1,57815,hi
Pet Sematary,1989,103,"Fantasy,Horror,Thriller",6.5,122080,hi
The Phantom of the Opera,1989,93,"Drama,Horror,Music",5.5,4832,hi
Priceless Beauty,1988,94,"Drama,Fantasy,Romance",4.4,409,hi
The Rachel Papers,1989,95,"Comedy,Drama,Romance",5.9,2362,hi
Ram Lakhan,1989,174,"Action,Comedy,Drama",6.8,3145,hi
Road House,1989,114,"Action,Thriller",6.7,109255,hi
Blood and Sand,1989,113,"Drama,Romance",4.6,1292,hi
Say Anything,1989,100,"Comedy,Drama,Romance",7.3,100587,hi
Sea of Love,1989,113,"Crime,Drama,Mystery",6.8,47643,hi
Skin Deep,1989,101,"Comedy,Drama,Romance",6.1,5493,hi
Tango & Cash,1989,104,"Action,Comedy,Crime",6.4,119182,hi
They Call Me Macho Woman!,1989,81,"Action,Comedy",4.5,405,hi
Three Fugitives,1989,96,"Action,Comedy",6.2,13325,hi
Turner & Hooch,1989,97,"Comedy,Crime,Drama",6.2,79682,hi
Forbidden Love,1990,91,"Drama,Romance",6.8,315,hi
The War of the Roses,1989,116,"Comedy,Romance",6.9,61290,hi
When Harry Met Sally...,1989,95,"Comedy,Drama,Romance",7.7,262130,hi
Wings of Fame,1990,109,"Comedy,Drama,Fantasy",6.8,1128,hi
"Sex, Lies, and Videotape",1989,100,Drama,7.2,63353,hi
Aaj Ka Arjun,1990,164,"Action,Crime,Drama",4.6,731,hi
"After Dark, My Sweet",1990,114,"Crime,Drama,Mystery",6.5,4648,hi
Agneepath,1990,174,"Action,Crime,Drama",7.6,9838,hi
Air America,1990,113,"Action,Comedy,War",5.8,31960,hi
Anjali,1990,150,"Drama,Family,Musical",8.2,3310,hi
Awakenings,1990,121,"Biography,Drama",7.8,173195,hi
Baaghi: A Rebel for Love,1990,157,"Action,Drama,Romance",5.8,1981,hi
Back to the Future Part III,1990,118,"Adventure,Comedy,Sci-Fi",7.5,509482,ml
Body Chemistry,1990,84,"Drama,Thriller",4.3,576,hi
Child's Play 2,1990,84,"Horror,Thriller",6.0,62982,hi
The Comfort of Strangers,1990,107,"Crime,Drama,Fantasy",6.3,7035,hi
Against the Wind,1990,95,Drama,5.4,311,hi
Cry-Baby,1990,85,"Comedy,Musical",6.5,67935,hi
Dances with Wolves,1990,181,"Adventure,Drama,Western",8.0,305049,hi
Darkman,1990,96,"Action,Sci-Fi,Thriller",6.4,73621,hi
Days of Thunder,1990,107,"Action,Drama,Sport",6.1,103152,hi
Dick Tracy,1990,105,"Action,Comedy,Crime",6.2,69043,hi
Die Hard 2,1990,124,"Action,Thriller",7.2,400921,hi
Dil,1990,172,"Comedy,Drama,Romance",6.6,6063,hi
Drishti,1990,171,Drama,7.3,130,hi
DuckTales the Movie: Treasure of the Lost Lamp,1990,74,"Adventure,Animation,Comedy",6.8,29983,hi
The Ages of Lulu,1990,95,Drama,5.5,4562,hi
Edward Scissorhands,1990,105,"Drama,Fantasy,Romance",7.8,555889,gu
The Exorcist III,1990,110,"Drama,Horror,Mystery",6.5,42412,hi
Flatliners,1990,115,"Drama,Horror,Sci-Fi",6.6,97598,hi
The Forbidden Dance,1990,97,"Drama,Music,Romance",4.0,1961,hi
Ghar Ho To Aisa,1990,155,Drama,6.0,497,hi
Ghayal,1990,163,"Action,Crime,Drama",7.7,5427,hi
Ghost,1990,126,"Drama,Fantasy,Romance",7.1,251389,hi
The Godfather Part III,1990,162,"Crime,Drama",7.6,446674,hi
Goodfellas,1990,145,"Biography,Crime,Drama",8.7,1356645,hi
Graffiti Bridge,1990,90,"Drama,Music",4.7,9036,hi
Gremlins 2: The New Batch,1990,106,"Comedy,Fantasy,Horror",6.5,118556,hi
Hamlet,1990,135,Drama,6.7,24659,hi
The Handmaid's Tale,1990,108,"Drama,Romance,Sci-Fi",6.0,11973,hi
Hardware,1990,94,"Horror,Sci-Fi,Thriller",6.0,17526,hi
Henry & June,1990,136,"Biography,Drama",6.3,14793,hi
Henry: Portrait of a Serial Killer,1986,83,"Biography,Crime,Drama",7.0,43554,hi
Home Alone,1990,103,"Comedy,Family",7.7,709789,hi
The Hot Spot,1990,130,"Crime,Drama,Romance",6.4,15083,hi
The Hunt for Red October,1990,135,"Action,Adventure,Thriller",7.5,226757,hi
Internal Affairs,1990,115,"Crime,Drama,Thriller",6.5,24355,hi
The Invisible Maniac,1990,86,"Comedy,Horror,Sci-Fi",4.3,4164,hi
Jacob's Ladder,1990,113,"Drama,Horror,Mystery",7.4,126321,hi
Jetsons: The Movie,1990,82,"Animation,Comedy,Family",5.6,6046,hi
Karate Rock (The Kid with Iron Hands),1990,90,"Action,Adventure",3.5,153,hi
Kindergarten Cop,1990,111,"Action,Comedy,Crime",6.3,172583,hi
Kroadh,1990,144,"Action,Crime,Drama",4.7,280,hi
Erotic Ghost Story,1990,90,"Fantasy,Horror",5.6,1344,hi
Lionheart,1990,108,"Action,Crime,Drama",6.2,42349,hi
Legend of the Dragon,1991,96,"Action,Adventure,Comedy",6.4,1259,hi
Loose Cannons,1990,94,"Action,Comedy,Crime",4.9,5632,hi
Maha-Sangram,1990,159,"Action,Drama,Romance",5.4,220,hi
Maine Pyar Kiya,1989,192,"Drama,Musical,Romance",7.3,13803,ml
The Hairdresser's Husband,1990,82,"Comedy,Drama,Romance",7.1,10919,hi
Mermaids,1990,110,"Comedy,Drama,Romance",6.7,39366,hi
Miller's Crossing,1990,115,"Crime,Drama,Thriller",7.7,147705,hi
Misery,1990,107,"Drama,Thriller",7.8,256688,hi
Night Visitor,1989,93,"Crime,Horror,Thriller",4.9,986,hi
La Femme Nikita,1990,117,"Action,Crime,Drama",7.2,80364,hi
Pacific Heights,1990,102,"Drama,Mystery,Thriller",6.4,24623,hi
Predator 2,1990,108,"Action,Horror,Sci-Fi",6.3,196189,hi
Presumed Innocent,1990,127,"Mystery,Thriller",6.9,51474,hi
Pretty Woman,1990,119,"Comedy,Romance",7.1,394867,hi
Problem Child,1990,81,"Comedy,Family",5.5,34888,hi
God of Love,1990,148,"Action,Comedy,Drama",3.7,181,hi
RoboCop 2,1990,117,"Action,Crime,Sci-Fi",5.8,98406,hi
Rocky V,1990,104,"Drama,Sport",5.4,158709,hi
The Branches of the Tree,1990,130,Drama,7.7,883,hi
Slumber Party Massacre III,1990,87,"Comedy,Horror",4.5,3766,hi
Springflod,1990,105,"Drama,Romance",5.9,248,hi
Teenage Mutant Ninja Turtles,1990,93,"Action,Adventure,Comedy",6.8,110630,hi
Total Recall,1990,113,"Action,Adventure,Sci-Fi",7.5,374961,bn
Tremors,1990,96,"Comedy,Horror",7.2,162549,hi
Tridev,1989,173,"Action,Crime,Drama",6.5,2463,hi
Two Evil Eyes,1990,120,Horror,6.1,8926,hi
The Two Jakes,1990,137,"Crime,Drama,Mystery",6.1,16551,hi
Vardi,1989,161,"Action,Crime,Drama",4.5,291,hi
Vital Signs,1990,103,"Drama,Romance",5.5,916,hi
"Welcome Home, Roxy Carmichael",1990,95,"Comedy,Drama",5.9,6562,hi
White Hunter Black Heart,1990,112,"Adventure,Drama",6.5,14034,hi
Wild Orchid,1989,105,"Drama,Romance",4.5,13559,hi
Wild at Heart,1990,125,"Crime,Drama,Thriller",7.2,110100,hi
Young Guns II,1990,104,"Action,Drama,Western",6.5,41143,hi
Zandalee,1991,100,"Drama,Romance,Thriller",4.3,4470,hi
Days of Being Wild,1990,94,"Crime,Drama,Romance",7.4,27819,hi
"Abraxas, Guardian of the Universe",1990,87,"Action,Drama,Sci-Fi",2.9,2580,hi
The Addams Family,1991,99,"Comedy,Fantasy",7.0,197678,hi
The Adjuster,1991,102,"Comedy,Drama",6.6,3970,hi
The Stranger,1991,97,Drama,8.0,4654,hi
Ajooba,1990,178,"Action,Adventure,Comedy",5.3,1587,hi
The Lover,1992,115,"Biography,Drama,Romance",6.8,24851,hi
Lovers: A True Story,1991,103,"Crime,Drama,Romance",6.9,3606,hi
L'année de l'éveil,1991,102,Drama,6.0,306,hi
Backdraft,1991,137,"Action,Drama,Mystery",6.7,92212,hi
Barton Fink,1991,116,"Comedy,Drama,Thriller",7.6,134129,hi
Beauty and the Beast,1991,84,"Animation,Family,Fantasy",8.0,499024,hi
La belle noiseuse,1991,238,Drama,7.5,10284,hi
Benaam Badsha,1991,\N,"Action,Crime,Drama",5.1,352,hi
Beta,1992,171,"Drama,Romance",6.2,2697,hi
Bill & Ted's Bogus Journey,1991,93,"Adventure,Comedy,Fantasy",6.3,84102,hi
Boyz n the Hood,1991,112,"Crime,Drama",7.8,165062,hi
Cape Fear,1991,128,"Crime,Drama,Thriller",7.3,235806,hi
Capital Punishment,1991,89,Action,3.5,268,hi
Career Opportunities,1991,83,"Comedy,Romance",5.8,20151,hi
Class Action,1991,110,"Drama,Thriller",6.4,8866,hi
Close My Eyes,1991,108,"Drama,Romance",6.2,3876,hi
Coolie No. 1,1995,143,"Action,Comedy,Romance",6.6,6147,hi
Critters 3,1991,86,"Comedy,Horror,Sci-Fi",4.5,14157,hi
Thalapathi,1991,157,"Action,Crime,Drama",8.5,15625,hi
Dead Again,1991,107,"Crime,Drama,Mystery",6.8,31557,hi
Dil Aashna Hai (...The Heart Knows),1992,164,"Drama,Romance",4.9,1967,hi
Dil Hai Ki Manta Nahin,1991,154,"Adventure,Comedy,Drama",7.2,4933,hi
Deewana Mujh Sa Nahin,1990,130,"Comedy,Drama,Romance",5.0,1161,hi
The Double Life of Véronique,1991,98,"Drama,Fantasy,Music",7.6,56093,hi
Drop Dead Fred,1991,103,"Comedy,Drama,Fantasy",6.0,33305,hi
Father of the Bride,1991,105,"Comedy,Family,Romance",6.6,90712,hi
The Fisher King,1991,137,"Comedy,Drama,Fantasy",7.5,95252,hi
Frankie and Johnny,1991,118,"Comedy,Drama,Romance",6.8,37356,hi
Freddy's Dead: The Final Nightmare,1991,89,"Fantasy,Horror",4.7,54808,hi
Full Impact,1993,72,Action,3.2,253,hi
The Hard Way,1991,111,"Action,Comedy,Crime",6.4,23476,hi
Hook,1991,142,"Adventure,Comedy,Family",6.8,286284,hi
Hot Shots!,1991,85,"Action,Comedy",6.7,123252,hi
Hudson Hawk,1991,100,"Action,Adventure,Comedy",5.7,63359,hi
Hum,1991,184,"Action,Comedy,Drama",6.9,3627,hi
If Looks Could Kill,1991,88,"Action,Comedy",5.8,8237,hi
Inner Sanctum,1991,90,"Drama,Romance,Thriller",3.4,912,hi
JFK,1991,189,"Drama,History,Thriller",8.0,179138,hi
Khoon Ka Karz,1991,151,"Action,Crime,Drama",4.0,131,ta
A Kiss Before Dying,1991,94,"Crime,Drama,Mystery",5.7,6344,hi
Lamhe,1991,187,"Drama,Musical,Romance",7.2,3328,hi
The Last Boy Scout,1991,105,"Action,Comedy,Crime",7.0,118456,hi
The Last Hour,1991,85,"Action,Crime,Drama",4.4,236,hi
Erotic Ghost Story II,1991,96,"Fantasy,Horror",4.6,421,hi
Little Man Tate,1991,99,Drama,6.6,17380,hi
Love Crimes,1992,90,"Romance,Thriller",4.3,1369,hi
Madonna: Truth or Dare,1991,120,"Documentary,Music",6.5,10388,hi
Malina,1991,125,"Drama,Fantasy,Mystery",6.3,1290,hi
The Man in the Moon,1991,99,"Drama,Romance",7.2,20998,hi
The Marrying Man,1991,115,"Comedy,Music,Romance",5.7,6571,hi
Mississippi Masala,1991,118,"Drama,Romance",6.8,7035,hi
My Girl,1991,102,"Comedy,Drama,Family",6.9,95253,hi
My Own Private Idaho,1991,104,Drama,6.9,65745,hi
The Naked Gun 2½: The Smell of Fear,1991,85,"Comedy,Crime",6.9,137219,hi
Narasimha,1991,214,"Action,Drama",5.5,622,hi
Not Without My Daughter,1991,116,"Drama,Thriller",6.5,16650,hi
Robotrix,1991,98,"Action,Comedy,Crime",5.9,1427,hi
Only Yesterday,1991,119,"Animation,Drama,Romance",7.6,41146,hi
Once Around,1991,115,"Comedy,Drama,Romance",6.5,5384,hi
The Indecent Woman,1991,95,"Drama,Romance,Thriller",5.3,478,hi
Out for Justice,1991,91,"Action,Crime,Drama",6.1,27496,hi
Parinda,1989,154,"Action,Crime,Drama",7.8,4053,hi
Point Break,1991,122,"Action,Crime,Thriller",7.3,219353,hi
Prahaar: The Final Attack,1991,151,"Action,Crime,Drama",8.0,2378,hi
Prem Pratigyaa,1989,156,"Drama,Romance",6.4,424,hi
The Prince of Tides,1991,132,"Drama,Romance",6.8,20925,hi
Kurbaan,1991,133,"Action,Drama,Romance",4.2,752,hi
Rambling Rose,1991,112,Drama,6.5,5883,hi
Raw Nerve,1991,91,"Drama,Mystery,Thriller",4.4,529,hi
Regarding Henry,1991,108,"Drama,Romance",6.7,35760,hi
Return to the Blue Lagoon,1991,102,"Adventure,Drama,Romance",5.2,22898,hi
Ricochet,1991,102,"Action,Crime,Drama",6.2,22325,hi
Robin Hood: Prince of Thieves,1991,143,"Action,Adventure,Drama",6.9,218734,hi
The Rocketeer,1991,108,"Action,Adventure,Family",6.6,64806,hi
Saajan,1991,193,"Drama,Musical,Romance",7.2,7994,hi
